"280388 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1441,07 0 558,99 175 760000 0 2 4 ""1510"" 0 0 0 0 0 no "
"280396 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1607,3 349,83 925,5 175 770000 500448 0 6 ""PKV"" 0 0 0 0 0 no "
"280461 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1186,49 0 1186,49 175 710000 0 0 1 ""0471"" 0 0 0 0 0 no "
"280503 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 442,51 0 223,38 175 710000 0 0 5 ""0471"" 0 0 0 0 0 no "
"280677 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1213,56 0 672,92 175 710000 0 0 3 ""0471"" 0 0 0 0 0 no "
"280693 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1481,3 0 700,65 175 710000 0 0 1 ""5300"" 0 0 0 0 0 no "
"280784 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 982,06 0 608,98 175 710000 0 0 4 ""0471"" 0 0 0 0 0 no "
"280891 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 878,53 0 642,47 175 710000 0 0 3 ""5301"" 0 0 0 0 0 no "
"281303 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 614,15 50,67 255,38 175 770000 0 0 3 ""849?"" 0 0 0 0 0 no "
"281451 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 933,11 85,7 492,71 175 770000 0 0 3 ""PKV"" 0 0 0 0 0 no "
"281592 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 545,56 68,19 216,94 175 770000 0 0 4 ""849?"" 0 0 0 0 0 no "
"281600 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 610,6 24,34 257,61 175 770000 0 0 4 ""7171"" 0 0 0 0 0 no "
"281683 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 529,84 49,42 194,51 175 770000 0 0 5 ""5300"" 0 0 0 0 0 no "
"281790 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 315,02 20,46 147,65 175 770000 0 0 1 ""0472"" 0 0 0 0 0 no "
"281816 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 892,65 0 469,89 175 760000 0 0 5 ""1510"" 0 0 0 0 0 no "
"281840 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 755,69 0 311,42 175 760000 0 0 5 ""PKV"" 0 0 0 0 0 no "
"281931 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 950,46 0 353,57 175 760000 0 0 3 ""1510"" 0 0 0 0 0 no "
"282020 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 927,87 0 328,93 175 760000 0 0 0 ""PKV"" 0 0 0 0 0 no "
"282053 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 723,82 0 274,76 175 760000 0 0 0 ""1512"" 0 0 0 0 0 no "
"282145 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1243,01 0 572,28 175 760000 0 0 6 ""5302"" 0 0 0 0 0 no "
"282178 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 546,02 0 175,27 175 760000 0 0 0 ""721?"" 0 0 0 0 0 no "
"282194 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 568,67 0 200,46 175 760000 0 0 4 ""151?"" 0 0 0 0 0 no "
"282210 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 571,87 0 246,76 175 760000 0 0 5 ""1511"" 0 0 0 0 0 no "
"282368 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 578,48 0 179,5 175 760000 0 0 0 ""0470"" 0 0 0 0 0 no "
